aciklama,cilttipi,cilt_problemi,onerilen_urun
"Burnumdaki geniş gözenekler dolu, siyah noktalar görünür.",yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarımda elastikiyet kaybı başladı, yüzüm sarkıyor gibi.",normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Cildimde ince kırışıklıklar belirginleşti.,normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yüzümde yanma ve hafif tahriş hissi var.,hassas,yanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Alnımda kabuklanma ve kaşıntı başladı.,hassas,kabuklanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde beyaz başlı minik sivilceler çıktı.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumdaki gözenek tıkanıklığı ve siyah noktalar belirgin.,yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hiperpigmentasyon nedeniyle koyu lekeler arttı.,normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda kaşıntılı kırmızı döküntüler oluştu.,hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kistik, kırmızı, ağrılı sivilceler çıktı.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumdaki siyah noktalar temizlense bile tekrar oluşuyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hipopigmentasyon nedeniyle açık renkli lekeler belirdi.,normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda tahriş, yanma ve hassasiyet oluştu.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Cildimde göz çevresindeki kırışıklıklar daha belirgin hale geldi.,normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda elastikiyet kaybı var, cildim esnekliğini kaybetti.",normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Burnumdaki geniş gözenekler dolu ve siyah noktalar görünüyor.,yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hiperpigmentasyon nedeniyle koyu renkli lekeler arttı.,normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Kışın cildim kupkuru, kaşıntı ve kabuklanma yapıyor.",kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"Epilasyon sonrası batık kıllar oluştu, kızarıklık yaptı.",normal,batık kıl,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Çenemde büyük, şiş, iltihaplı sivilceler çıktı, ağrılı.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumda gözenek tıkanıklığı nedeniyle siyah noktalar oluştu.,yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda alerjik reaksiyon sonrası kırmızı döküntüler oluştu.,hassas,alerjik reaksiyon,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Yüzümde egzama kaynaklı kırmızı, pullu döküntüler var.",hassas,egzama,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Cildim çok hassas, parfümlü ürün bile tahriş yapıyor.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Burnumdaki siyah noktalar derinleşti, sürekli geri geliyor.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda hipopigmentasyon nedeniyle soluk lekeler oluştu.,normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Göz çevremde ince kırışıklıklar daha da arttı.,normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yüzümde yanma ve kaşıntı hissi oluştu.,hassas,yanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Alnımda dermatit nedeniyle kırmızı pullu döküntüler çıktı.,hassas,dermatit,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde beyaz başlı küçük sivilceler çıktı.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Cildim kupkuru, pul pul dökülüyor, nemlendirici yetmiyor.",kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Yüzümde alerjik reaksiyon sonucu şişlik oluştu.,hassas,alerjik reaksiyon,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Cildim çok kuru, çatlama ve kabuklanma yapıyor.",kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Burnumdaki siyah noktalar makyajla bile kapanmıyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda kalıcı kırmızı lekeler var.,hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kistik, kırmızı, ağrılı sivilceler oluştu.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde güneş sonrası kahverengi lekeler ortaya çıktı.,normal,güneş lekesi,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda elastikiyet kaybı nedeniyle yüzüm sarkıyor gibi.,normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Burnumdaki geniş gözenekler gözle görülür şekilde belirgin.,yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda ufak kabuklanmalar ve kaşıntılar oluştu.,kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"Çenemde epilasyon sonrası batık kıllar çıktı, ağrılı.",normal,batık kıl,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yüzümde dermatit kaynaklı kırmızı döküntüler var.,hassas,dermatit,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Burnumda gözenek tıkanıklığı arttı, yağlanma yapıyor.",yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hiperpigmentasyon kaynaklı koyu lekeler oluştu.,normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda kaşıntılı kırmızı döküntüler oluştu.,hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde büyük, ağrılı şişlik yapan sivilceler çıktı.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Burnumdaki siyah noktalar derinleşti, temizlenmiyor.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hipopigmentasyon nedeniyle açık lekeler oluştu.,normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda tahriş ve hassasiyet hissediyorum.,hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde kırmızı iltihaplı sivilceler çıktı.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde açık kahverengi güneş lekeleri oluştu.,normal,güneş lekesi,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Burnumdaki geniş gözenekler sürekli dolu, siyah noktalar birikiyor.",yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda elastikiyet kaybı nedeniyle gevşeklik var.,normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Cildimde ince kırışıklıklar belirginleşti, özellikle göz kenarlarında.",normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yüzümde yanma ve hafif tahriş hissi oluşuyor.,hassas,yanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Alnımda kabuklanma ve kaşıntı başladı.,hassas,kabuklanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde beyaz başlı minik sivilceler çıktı.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumdaki gözenek tıkanıklığı ve siyah noktalar belirginleşti.,yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hiperpigmentasyon nedeniyle koyu lekeler arttı.,normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda kaşıntılı kırmızı döküntüler oluştu.,hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kistik, kırmızı, ağrılı sivilceler çıktı.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumdaki siyah noktalar temizlense bile tekrar oluşuyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hipopigmentasyon nedeniyle açık renkli lekeler oluştu.,normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda tahriş, yanma ve hassasiyet hissediyorum.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Son bir haftadır göz çevremde kırışıklıklar derinleşti, krem de fayda etmiyor.",normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda hafif bir sarkma var, elastikiyet kaybı yaşadığımı hissediyorum.",normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Burnumdaki gözenekler iyice açıldı, ne temizleyici ne tonik işe yarıyor.",yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde kahverengi lekeler yayıldı, doktor hiperpigmentasyon dedi.",normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Kış geldiğinden beri yanaklarımda kabuklanma ve pul pul dökülme başladı.,kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"Bacak epilasyonu sonrası batık kıllar oluştu, üzerine sivilce gibi kabardı.",normal,batık kıl,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Çenemde çıkan şiş, kırmızı, ağrılı sivilceler parmak kadar büyük.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumdaki gözenekler o kadar tıkalı ki makyaj bile kusuyor.,yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yeni bir krem kullandım, yanaklarımda alerjik döküntüler çıktı.",hassas,alerjik reaksiyon,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Egzama yüzünden yanaklarımda çatlaklar ve kızarıklıklar oluştu.,hassas,egzama,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Cildim o kadar hassas ki hava değişiminde bile tahriş oluyor.,hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Burnumdaki siyah noktaları sıktım ama ertesi gün yine çıktı.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarımda soluk, beyaza yakın hipopigmentasyon lekeleri belirdi.",normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Göz çevremde ince kırışıklıklar çoğaldı, fondötenle bile kapatamıyorum.",normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yüzümde sıcaklık ve yanma hissi artıyor, bazen ateş gibi oluyor.",hassas,yanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Alnımda kaşıntılı, kırmızı kabuk kabuk döküntüler oluştu.",hassas,dermatit,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde minik, beyaz başlı, iltihaplı sivilceler çıktı.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Nemlendirici sürsem de yanaklarımda kabuklanma geçmedi.,kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Alerjik bir reaksiyon sonrası yüzümde hafif bir şişlik oluştu.,hassas,alerjik reaksiyon,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Yanaklarımda kalıcı kırmızı lekeler kaldı, yazdan beri geçmedi.",hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kistik, büyük ve ağrılı sivilceler çıktı, üzerine bastığımda bile acıyor.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Güneşe çıkınca yüzümde kahverengi lekeler belirginleşiyor.,normal,güneş lekesi,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda elastikiyet kaybı artınca yüzüm aşağı çekiliyor gibi görünüyor.,normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Burnumdaki gözenekler iyice genişledi, yağlı ve parlak bir görünüm var.",yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Kış boyunca yanaklarımda kaşıntı ve kabuklanma hiç bitmedi.,kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"Çenemde batık kıllar çıktı, üstleri iltihap topladı.",normal,batık kıl,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yüzümde kırmızı, pul pul döküntüler çıktı, dermatit teşhisi kondu.",hassas,dermatit,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Burnumdaki gözenekler tıkalı olduğu için sürekli siyah nokta oluşuyor.,yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hiperpigmentasyon nedeniyle koyu kahverengi lekeler birikti.,normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda kaşıntılı kırmızı döküntüler yayılmaya başladı.,hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde şiş, ağrılı ve iltihaplı sivilceler çıktı, krem fayda etmiyor.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Burnumdaki siyah noktalar derinleşti, cilt altına oturdu.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hipopigmentasyon nedeniyle açık renkli yuvarlak lekeler var.,normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda tahriş, yanma ve hassasiyet bir arada yaşanıyor.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kırmızı iltihaplı sivilceler çıktı, iz bırakıyor.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde açık kahverengi, yaygın güneş lekeleri oluştu.",normal,güneş lekesi,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Burnumdaki geniş gözenekler sürekli yağ doluyor.,yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda elastikiyet kaybı nedeniyle gevşek bir his var.,normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Cildimde ince kırışıklıklar daha fazla fark edilmeye başladı.,normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yüzümde yanma ve kızarıklık birlikte ortaya çıktı.,hassas,yanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Alnımda kaşıntılı, kırmızı, kabuk kabuk döküntüler var.",hassas,kabuklanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde beyaz başlı, minik iltihaplı sivilceler çıkıyor.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumdaki gözenek tıkanıklığı nedeniyle siyah noktalar geri geliyor.,yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hiperpigmentasyon nedeniyle koyu renkli lekeler yaygınlaştı.,normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda kaşıntılı kırmızı döküntüler çoğaldı.,hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kistik, kırmızı ve ağrılı sivilceler çıktı.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumdaki siyah noktalar temizlense bile tekrar doluyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde hipopigmentasyon nedeniyle soluk lekeler yayıldı.,normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda tahriş, yanma ve hassasiyet artıyor.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Son günlerde göz çevremde ince çizgiler oluştu, güldüğümde daha çok belli oluyor.",normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda hafif sarkma fark ettim, eskisi gibi dolgun görünmüyor.",normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Burnumda pürüzlü noktalar var, temizleyici işe yaramadı.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde kahverengi gölgeler oluştu, özellikle yanaklarımda yaygın.",normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Kıştan beri yanaklarımda pullar dökülüyor, ne kadar krem sürsem de geçmedi.",kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"Bacak epilasyonu sonrası bazı kıllar deri altına battı, üstü hafif kızardı.",normal,batık kıl,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Çenemde çıkan kırmızı şişlik dokununca acıyor, büyük bir kitle gibi.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Burnumda küçük delikler gibi açıklıklar var, içleri siyah görünüyor.",yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarımda minik kabarcıklar çıktı, kaşıdıkça kızarıyor.",hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Yüzümde sürekli kaşıntılı kırmızı plaklar oluyor, doktor egzama dedi.",hassas,egzama,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Cildim birden hassaslaştı, en ufak temas bile yanma yapıyor.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Burnumda minik siyah lekeler oluştu, sıkınca içeriden bir şey çıkıyor.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarımda açık renkli yuvarlak lekeler var, eskiye göre daha soluk.",normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Göz çevremde minik kırışıklıklar oluştu, makyaj pürüzlü duruyor.",normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yüzümde aniden sıcaklık ve yanma hissi yükseldi, ayna kırmızı gösteriyor.",hassas,yanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Alnımda sert kabuklanmış kırmızı bir alan var, kaşındıkça dökülüyor.",hassas,dermatit,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde küçük beyaz nokta gibi kabarcıklar çıktı, sıkınca beyaz sıvı geldi.",yağlı,milium,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarımda sürekli soyulan, çatlayan bölgeler var, sızlıyor.",kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"Yüzümde hafif şişlik oluştu, cildim gergin ve kırmızı görünüyor.",hassas,alerjik reaksiyon,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Yanaklarımda geçmeyen kırmızı alanlar var, bazen kaşınıyor.",hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kızarık, büyük bir şişlik çıktı, üzerine dokunamıyorum bile.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Güneşten sonra yanaklarımda koyu gölgeler oluştu.,normal,güneş lekesi,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarım sanki içeri çekilmiş gibi görünüyor, dolgunluğu kaybettim.",normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Burnumda delik gibi görünen geniş açıklıklar var, içleri dolu duruyor.",yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarımda minik minik soyulmalar oluyor, makyaj pütürlü duruyor.",kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Bacağımda kıl dönmesi gibi kabarık küçük şişlikler çıktı.,normal,batık kıl,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yüzümde kırmızı pul pul döküntüler yayılıyor, çok kaşınıyor.",hassas,dermatit,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Burnumda noktacıklar oluştu, temizlesem de tekrar doluyor.",yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde koyu renkli noktalar arttı, fondöten bile kapatmıyor.",normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
