hastalik,aciklama,cilttipi,onerilen_urun,cilt_onerilen_urun
Folikülit,"6. Çenemdeki ve sakal bölgemdeki kırmızı, iltihaplı noktalar büyüyor ve ağrım artıyor.",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"7. Sakal bölgemde ve çenemde ağrılı, kırmızı yumrular var ve büyümeye devam ediyorlar.",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"8. Çenemde ve sakal bölgemde sivilce benzeri, ağrılı ve büyüyen kırmızı oluşumlar var.",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,9. Sakal bölgem ve çenemdeki kızarıklıklar şişmiş ve giderek daha fazla ağrı yapıyor.,yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"10. Çenem ile sakal bölgem arasında iltihaplı, kırmızı, ağrılı ve büyüyen sivilceler var.",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"11. Çenemin altındaki sakal bölgemde ağrılı, kırmızı ve şişkin sivilceler var ve büyüyorlar.",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"12. Sakal bölgemde, özellikle çenemde, ağrıyan ve büyüyen kırmızı iltihaplar var.",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"13. Çenem ve sakal bölgemdeki sivilceler iltihaplandı, büyüdükçe ağrıları da artıyor.",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"14. Çenemde ve sakal bölgemdeki kırmızı şişlikler beni rahatsız ediyor, büyüyorlar ve acıyorlar.",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"15. Sakal bölgemde ve çenemde oluşan ağrılı, iltihaplı şişlikler giderek büyüyor.",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"16. Çenem ve sakal bölgemde çıkan sivilceler iltihaplanmış, büyüdükçe daha çok ağrıyor.",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,17. Çenemde ve sakal bölgemdeki kızarıklıklar ve şişlikler acı veriyor ve boyutları artıyor.,yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"18. Sakal bölgem ve çenemdeki sivilceler  kızarık ve iltihaplı, büyümeleriyle birlikte ağrıları da artıyor.",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"19. Çenemde, sakal bölgemde oluşan kırmızı, ağrılı şişlikler büyümeye devam ediyor.",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"20. Sakal bölgemde, özellikle çene bölgemde, kırmızı ve ağrılı şişlikler oluştu ve büyüyorlar.",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"21. Çenemde ve sakalımda çıkan sivilceler acı veriyor, iltihaplandı ve büyüyorlar.",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"22. Çenem ve sakal bölgemde giderek büyüyen, ağrılı, kırmızı şişlikler var.",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"23. Sakal bölgemde çenemde başlayan kırmızı, ağrılı şişlikler yayılıyor ve büyüyor.",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"24. Çenemin altındaki sakal bölgemde oluşan sivilceler kızarık, şiş ve ağrılı, üstelik büyüyorlar.",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,25. Çenemdeki ve sakal bölgemdeki iltihaplı sivilceler büyüdükçe daha da ağrıyor.,yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"26. Sakal bölgemde, çene hizasında ağrıyan, büyüyen, iltihaplı sivilceler var.",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"27. Çenem ve sakal bölgemdeki sivilceler iltihaplanmış, şişmiş ve acı veriyor, ayrıca büyüyorlar.",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,28. Çenemdeki ve sakal bölgemdeki kızarıklık ve şişkinlikler ağrılı ve giderek büyüyor.  Yara izi kalacağından endişeleniyorum.,yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,29. Sakal bölgemde ve çenemde çıkan sivilceler  iltihaplanıp büyüdükçe daha çok ağrıyor ve iz kalmasından korkuyorum.,yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"30. Çenemde ve sakal bölgemdeki ağrılı, iltihaplı şişlikler büyüyor ve yara izi bırakmalarından endişeliyim.",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Kurdeşen (Ürtiker),"1. Dün deniz ürünü yedikten sonra cildimde kaşıntılı, kabarık döküntüler çıktı. Boğazımda da bir sıkılık hissediyorum. Acaba alerji mi?",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"2. Kabuklu deniz ürünleri yedikten sonra ellerim ve yüzümde kaşıntılı şişlikler belirdi, boğazım da sıkışıyor gibi. Alerjik reaksiyon olabilir mi?",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),3. Deniz ürünü tükettikten sonra kaşıntılı ve kabarık bir döküntü oluştu. Boğazımda da bir gerginlik var. Alerji olabilir miyim?,hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),4. Dün yediğim deniz ürünlerinden sonra ellerimde ve yüzümde kaşıntılı kabartılar çıktı. Boğazım da biraz daralmış gibi. Alerjik reaksiyon mudur acaba?,hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"5. Deniz ürünleri sonrası cildimde, özellikle ellerimde ve yüzümde kaşıntılı şişlikler oluştu. Boğazımda da bir baskı hissediyorum. Alerji belirtisi olabilir mi?",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"6. Kabuklu deniz ürünleri yedikten sonra vücudumda, özellikle ellerim ve yüzümde kaşıntılı kabarmalar belirdi. Boğazımda da bir gerilme var. Alerjik bir reaksiyon olabilir mi?",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"7. Dün akşam yediğim deniz ürünlerinden sonra ellerimde, yüzümde kızarıklıklar ve kaşıntılı kabarcıklar çıktı. Boğazımda da bir tıkanıklık hissi var. Alerji miyim acaba?",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"8. Deniz ürünleri tükettikten sonra cildimde, özellikle ellerimde ve yüzümde kaşıntılı ve kırmızı kabarıklıklar oluştu. Boğazım da sıkışıyor gibi hissediyorum. Alerjik reaksiyon geçiriyor olabilirim.",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"9. Dün yediğim kabuklu deniz ürünlerinden sonra vücudumda kaşıntılı döküntüler belirdi, en çok ellerimde ve yüzümde. Boğazımda da bir daralma var. Alerjim olabilir mi?",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"10. Deniz ürünleri yedikten sonra ellerimde, yüzümde kaşıntılı şişlikler ve kızarıklıklar oluştu. Boğazımı da sıkan bir his var. Acaba alerjik reaksiyon mu?",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),11. Dün kabuklu deniz ürünleri tükettikten sonra ellerim ve yüzümde kaşıntı yapan kabarcıklar çıktı. Boğazımda da bir baskı hissediyorum. Alerjik reaksiyon olabilir mi?,hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"12. Deniz ürünü yedikten sonra cildim tepki gösterdi. Ellerimde ve yüzümde kaşıntılı kabarıklıklar var, boğazım da sıkışık hissediyor. Alerji miyim diye düşünüyorum.",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"13. Kabuklu deniz ürünleri yedikten sonra kaşıntılı bir döküntüyle kaplandım, özellikle ellerim ve yüzüm. Boğazımda da bir gerginlik var. Bu bir alerji olabilir mi?",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"14. Dün akşam deniz ürünleri yedikten sonra ellerim ve yüzümde kaşıntılı, kırmızı lekeler ve şişlikler belirdi. Boğazımda da bir daralma hissi var. Acaba alerji miyim?",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"15. Deniz ürünleri tüketiminden sonra vücudumda, özellikle ellerim ve yüzümde kaşıntılı ve kabarık döküntüler oluştu. Boğazımda da rahatsızlık hissediyorum. Bu bir alerjik reaksiyon olabilir mi?",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),16. Dün yediğim kabuklu deniz ürünlerinden sonra ellerim ve yüzümde kaşıntı ve şişlik başladı. Boğazımda da bir tıkanıklık hissi var. Alerjik bir reaksiyon olabilir mi?,hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"17. Deniz ürünleri yedikten sonra cildimde, özellikle ellerimde ve yüzümde kırmızı, kaşıntılı kabartılar çıktı. Boğazımda da bir yanma hissi var. Alerji belirtisi olabilir mi?",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"18. Kabuklu deniz ürünleri sonrası cildimde, özellikle ellerim ve yüzümde kaşıntı ve şişlik oluştu. Boğazımda da bir daralma var gibi. Acaba alerjik reaksiyon mu bu?",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"19. Dün deniz ürünü yedikten sonra ellerimde ve yüzümde kırmızı, kaşıntılı noktalar belirdi ve şişti. Boğazımda da bir baskı hissediyorum. Alerjik reaksiyon olabilir miyim diye merak ediyorum.",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),20. Deniz ürünleri tüketiminden sonra vücudum reaksiyon gösterdi. Ellerim ve yüzümde kaşıntılı kabartılar var ve boğazımda bir sıkışma hissediyorum. Alerji olabilirim.,hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),21. Kabuklu deniz ürünleri yedikten sonra kaşıntılı kabarcıklar çıktı ve boğazım şişti gibi hissediyorum. Alerjik bir reaksiyon geçiriyor olabilir miyim?,hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),22. Dün akşam deniz ürünleri yedikten sonra cildim kaşınmaya ve kabarmalara başladı. Boğazımda da bir tıkanıklık var. Alerji belirtisi olabilir mi diye endişeleniyorum.,hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"23. Deniz ürünleri sonrası vücudumda, özellikle yüzüm ve ellerimde kaşıntılı, küçük kabartılar oluştu ve boğazım da biraz şiş gibi. Alerjik reaksiyon olabilir mi?",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"24. Dün yediğim kabuklu deniz ürünleri alerji yapmış olabilir. Ellerim ve yüzümde kaşıntılı döküntüler çıktı, boğazımda da sıkıntı var.",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"25. Deniz ürünleri yedikten sonra ellerim, yüzüm kaşınıyor ve kabarıyor. Boğazımda da bir gerginlik hissi var. Acaba alerji miyim?",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),26. Kabuklu deniz ürünleri tükettiğimden beri ellerimde ve yüzümde kaşıntılı kabarıklıklar ve boğazımda bir sıkışma hissi var. Alerji olabilir mi diye düşünüyorum.,hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"27. Dün akşam deniz ürünleri yedikten sonra vücudumda, özellikle yüzümde ve ellerimde kaşıntı ve kızarıklık oluştu. Boğazım da biraz daraldı gibi. Alerjik reaksiyon olabilir mi acaba?",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),28. Deniz ürünleri yedikten sonra vücudumda kaşıntılı bir döküntü oluştu.  Boğazım da sıkışmış gibi hissediyor.  Alerjik reaksiyon geçiriyor olabilirim.,hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),29. Kabuklu deniz ürünleri yüzünden ellerimde ve yüzümde kaşıntılı kabarıklıklar çıktı. Boğazım da biraz acıyor gibi.  Alerjik reaksiyon olabilir mi?,hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"30. Dün deniz ürünleri yedim ve şimdi ellerim ve yüzümde kaşıntılı  kabarıklıklar var, boğazım da biraz rahatsız. Alerjim olabilir mi diye endişeleniyorum.",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Uyuz,"1. Parmak aralarımda son günlerde şiddetli kaşıntı var, koç.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,2. Ayak ve el parmaklarımın arasında dayanılmaz bir kaşıntı hissediyorum.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"3. Parmak aralarımda kaşınma problemi yaşıyorum, antrenmanlarımı etkiliyor.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"4. El ve ayak parmaklarımın arası çok kaşınıyor, ne önerirsiniz koç?",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,5. Antrenmanlarımı etkileyen parmak arası kaşıntım için ne yapabilirim?,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,6. Parmaklarımın arası kaşınıyor ve bu durum antrenmanlarımı aksatıyor.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,7. Son zamanlarda parmak aralarındaki kaşıntı beni çok rahatsız ediyor.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"8. El ve ayak parmaklarımın arası kaşınıyor, bulaşıcı mıdır diye endişeleniyorum.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"9. Bu kaşıntı antrenmanlarımı etkiliyor, ne yapmamı önerirsiniz koç?",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,10. Parmak aralarım kaşınıyor ve bulaşıcı olma ihtimali beni kaygılandırıyor.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,11. Kaşıntıdan dolayı antrenmanlarıma odaklanamıyorum.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,12. Parmak aralarımda bir kaşıntı var ve bu durum beni endişelendiriyor.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,13. Acaba bu parmak arası kaşıntı bulaşıcı olabilir mi?,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"14. Koç, parmaklarımın arası çok kaşınıyor ve bu durumdan rahatsızım.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,15. Antrenman yaparken parmak aralarındaki kaşıntı beni zorluyor.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,16. Parmak aralarımın kaşınması antrenman performansımı düşürüyor.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,17. Bu kaşıntı bulaşıcıysa takım arkadaşlarıma da geçebilir diye korkuyorum.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"18. Koç, parmak aralarımda bir sorun var, sürekli kaşınıyor.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"19. El ve ayak parmaklarımın arası o kadar kaşınıyor ki, antrenmana konsantre olamıyorum.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"20. Bu kaşıntı beni deli ediyor, ne yapmalıyım bilmiyorum.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,21. Parmak aralarındaki kaşıntı giderek artıyor ve bu beni endişelendiriyor.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"22. Koç, parmaklarımda bir rahatsızlık var, kaşıntıdan antrenman yapamıyorum.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,23. Bu kaşıntının sebebi ne olabilir ve nasıl tedavi edebilirim?,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"24. Parmak aralarımın kaşınması antrenmanlarımda performansımı olumsuz etkiliyor, ne yapmalıyım?",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,25. Kaşıntı yüzünden antrenmanlarıma ara vermek zorunda kalabilirim.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"26. El ve ayak parmaklarımın arasındaki kaşıntı antrenmanlarımı aksatıyor, bir çözüm bulmalıyım.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,27. Bu kaşıntıya neyin sebep olduğunu ve nasıl geçirebileceğimi bilmiyorum.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"28. Koç, yardımınıza ihtiyacım var, parmak aralarım çok kaşınıyor.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"29. Bu kaşıntı problemim için ne önerirsiniz koç, antrenmanlarımı aksatmak istemiyorum.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,30. Parmaklarımın arası kaşınıyor ve bu durumdan kurtulmak için ne yapmam gerektiğini bilmiyorum.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"1. Anne, ellerim ve kollarım çok kaşınıyor!",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"2. Anne, ellerim ve kollarım dayanılmaz derecede kaşınıyor, dayanamıyorum!",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"3. Ellerim ve kollarımda korkunç bir kaşıntı var, anne.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"4. Anne, ellerim ve kollarım o kadar kaşınıyor ki ağlıyorum.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"5. Kaşıntıdan ellerime ve kollarıma dokunamıyorum anne, yardım et!",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"6. Anne, ellerim ve kollarım yanıyor gibi kaşınıyor.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,7. Ellerim ve kollarımdaki kaşıntı beni deli ediyor anne!,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"8. Anne, ellerim ve kollarım kaşınıyor, lütfen bana yardım et.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"9. Ellerim ve kollarım inanılmaz kaşınıyor, anne. Neden böyle oluyor?",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"10. Anne, ellerim ve kollarım çok kaşınıyor, rahatlatamıyorum.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"11. Bu kaşıntıya daha fazla dayanamıyorum anne, ellerim ve kollarım çok kötü.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"12. Anne, ellerim ve kollarımda bir sorun var galiba, çok kaşınıyor.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"13. Cildim kaşınıyor anne, özellikle ellerim ve kollarım.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"14. Anne, ellerim ve kollarım kaşınıyor ve bu beni çok üzüyor.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,15. Kaşıntıdan durmadan ellerimi ve kollarımı kaşıyorum anne.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"16. Anne, ellerim ve kollarımın kaşınması hiç geçmiyor.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,17. Ellerim ve kollarım alev alev yanıyor gibi kaşınıyor anne.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"18. Anne, ellerim ve kollarımdaki kaşıntı yüzünden uyuyamıyorum.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"19. Lütfen yardım et anne, ellerim ve kollarım çok fena kaşınıyor.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"20. Ellerim ve kollarım kaşındıkça kaşınıyor anne, ne yapmalıyım?",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"21. Anne, ellerim ve kollarımdaki bu kaşıntıya bir çare bulmalıyız.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"22. Ellerim ve kollarımda bir tuhaflık var anne, çok kaşınıyorlar.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"23. Cildimde rahatsız edici bir kaşıntı var, özellikle ellerimde ve kollarımda anne.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"24. Anne, ellerim ve kollarım kaşınıyor ve bu beni çok rahatsız ediyor.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,25. Bu kaşıntı yüzünden ellerime ve kollarıma dokunmak istemiyorum anne.,tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"26. Anne, ellerim ve kollarım kaşınıyor, sanki böcekler geziyor gibi.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"27. Ellerim ve kollarım sürekli kaşınıyor anne, artık dayanamıyorum.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"28. Anne, ellerim ve kollarımdaki kaşıntı beni çıldırtıyor!",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"29.  Anne, ellerim ve kollarımda bir şey var, çok kaşınıyor ve beni ağlatıyor.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"30. Anne, ellerim ve kollarım o kadar çok kaşınıyor ki, sanki derimin altında bir sürü karınca varmış gibi hissediyorum.",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Zona (Herpes Zoster),"1. Motor sürüşünden sonra göğsümde kırmızı, kabarcıklı bir kızarıklık oluştu.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),2. Uzun bir motor yolculuğunun ardından göğsümde acı veren bir kızarıklık belirdi.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),3. Deri ceketim göğsümdeki kızarıklığa değdiğinde çok acıyor.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Zona (Herpes Zoster),4. Motor kullandıktan sonra göğsümde yanma ve kabarcıklar oluştu.,tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
